事項
1974年２月 名古屋市北区に弱電設備工事を目的として「カナレ電気株式会社」を設立。
1974年12月 放送用マルチマイクケーブルシステムを開発し、放送局、ホール市場等へ販売を開始。
1977年10月 ノイズに強い放送用カラーマイクロホンケーブルの販売を開始。
1980年10月 放送用ケーブル事業に集中するため弱電設備工事業から撤退。
1982年12月 愛知県長久手町に当社全額出資のケーブル製造子会社「カナレ電線株式会社」を設立し製造を開
始。(1989年４月当社と合併)
"1983年２月 当社全額出資の「Canare Cable,Inc.」を米国に設立し、全米への販売を開始する。(現在は「Ca nare Corporation of America」(現 連結子会社)) 欧州、アジア等に販売代理店を設け、販路を世界に拡大。"
1983年11月 愛知県長久手町に当社全額出資の「カナレハーネス株式会社」を設立し、ハーネス加工を開始。 (現 連結子会社)
1987年２月 放送用ビデオ機材用の75ΩBNC型コネクタ販売開始。
1989年４月 製造、販売一元化のためカナレ電線株式会社と合併。
1991年12月 社団法人日本証券業協会の店頭売買銘柄に登録。
1993年３月 愛知県長久手町に光半導体の基礎研究を目的としたナノテック研究所が完成。
1995年６月 本社を愛知県長久手町へ移転、愛知県日進市の本社工場を日進工場(現在の名古屋本社)と改称。
1999年11月 当社全額出資の「Canare Corporation of Korea」を韓国に設立し、同国への販売を開始。(現 連結子会社)
2001年６月 当社全額出資の「Canare Corporation of Taiwan」を台湾に設立し、現地販売を開始。(現 連 結子会社)
"2003年４月 コネクタ製造のため当社全額出資の「Canare Electric (Shanghai) Co.,Ltd.」を中国・上海に 設立。(現 連結子会社)"
2004年２月 中国での当社製品の普及をはかるため当社全額出資の「Canare Electric Corporation of Tianjin」を中国・天津に設立。(現 連結子会社)
2004年３月 本社機能を充実させるため、東京、横浜地区の事業所を統合し、新横浜駅前に事業所を移転。こ れに伴い、横浜事業所を新横浜本社、東京本社を東京事業所とそれぞれ改称。
2004年12月 日本証券業協会への店頭登録を取消し、ジャスダック証券取引所に株式を上場。
2006年12月 東京証券取引所市場第二部、名古屋証券取引所市場第二部に株式を上場。
2007年２月 ジャスダック証券取引所での株式上場を廃止。
2007年12月 東京証券取引所市場第一部、名古屋証券取引所市場第一部銘柄に指定。
2008年５月 東南アジア及びインドでの当社製品の普及をはかるため当社全額出資の「Canare Singapore Private Ltd.」をシンガポールに設立。(現 連結子会社）
2009年６月 本社所在地を愛知県長久手町から愛知県日進市へ移転。
2009年11月 業務の効率化をはかるため東京事業所を閉鎖し、その機能を新横浜本社に統合。
2010年12月 名古屋証券取引所での株式上場を廃止。
2011年３月 教室・会議施設用の情報機器の高度化に適応した操作卓等の製造及び販売会社として、東京都荒 川区に当社全額出資の「カナレシステムワークス株式会社」を設立。(現 連結子会社)
2012年５月 電子機器製品の事業競争力の強化をはかるため、横浜市港北区に当社全額出資の「株式会社カナ レテック」を新設分割により設立。（現在は「カナレコネクティッドプロダクツ株式会社」(現 連結子会社)）
2015年３月 インドでの当社製品の普及をはかるため当社全額出資の「Canare Electric India Private Ltd.」をインド・ニューデリーに設立。(現 連結子会社）
2016年10月 欧州での当社製品の普及をはかるため当社全額出資の「Canare Europe GmbH」をドイツ・デュッ セルドルフに設立。(現 連結子会社）
2017年５月 中東及びアフリカでの当社製品の普及をはかるため当社全額出資の「Canare Middle East FZCO」をアラブ首長国連邦・ドバイに設立。(現 連結子会社） - 3 -年月 沿革
2017年10月 連携強化を通じたグループのシナジー効果創出をめざし、新横浜にあった本社機能及び国内のグ ループ会社であるカナレシステムワークス株式会社、株式会社カナレテック（現、カナレコネク ティッドプロダクツ株式会社）の拠点を東京都港区に移転。これに伴い新横浜本社を横浜事業所 として改称。
2020年８月 グループの経営体質強化のため、当社企業活動の拠点をカナレコネクティッドプロダクツ株式会 社とともに東京都港区から新横浜オフィスに移転し、カナレシステムワークス株式会社について は東京都荒川区へ移転。
2022年４月 東京証券取引所の市場区分の見直しにより、東京証券取引所の市場第一部からスタンダード市場 に移行。
